Train: 3872 Test: 968

Testing config: {'hidden_dims': (256, 256), 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0}
Epoch 291: train 1.5590e-02 | val 3.6054e-02
Epoch 292: train 1.5512e-02 | val 3.6025e-02
Epoch 293: train 1.5513e-02 | val 3.6021e-02
Epoch 294: train 1.5496e-02 | val 3.5877e-02
Epoch 295: train 1.5507e-02 | val 3.5805e-02
Epoch 296: train 1.5503e-02 | val 3.5809e-02
Epoch 297: train 1.5511e-02 | val 3.5613e-02
Epoch 298: train 1.5510e-02 | val 3.6150e-02
Epoch 299: train 1.5530e-02 | val 3.5969e-02
Epoch 300: train 1.5527e-02 | val 3.5598e-02

Testing config: {'hidden_dims': (512, 512), 'dropout': 0.05, 'lr': 0.001, 'weight_decay': 1e-05}
Epoch 001: train 2.4212e-01 | val 3.3282e-02
Epoch 002: train 3.3123e-02 | val 3.1603e-02
Epoch 003: train 2.9217e-02 | val 2.8663e-02
Epoch 004: train 2.4148e-02 | val 2.7937e-02
Epoch 005: train 2.1816e-02 | val 2.8270e-02
Epoch 006: train 2.0701e-02 | val 2.9180e-02
Epoch 007: train 2.0004e-02 | val 2.9609e-02
Epoch 008: train 1.9425e-02 | val 2.8641e-02
Epoch 009: train 1.9224e-02 | val 2.8053e-02
Epoch 010: train 1.9111e-02 | val 2.8023e-02
Epoch 011: train 1.8907e-02 | val 2.8453e-02
Epoch 012: train 1.8837e-02 | val 2.8334e-02
Epoch 013: train 1.8653e-02 | val 2.8047e-02
Epoch 014: train 1.8598e-02 | val 2.8419e-02
Epoch 015: train 1.8425e-02 | val 3.0000e-02
Epoch 016: train 1.8324e-02 | val 2.8675e-02
Epoch 017: train 1.8226e-02 | val 2.8773e-02
Epoch 018: train 1.8152e-02 | val 2.8657e-02
Epoch 019: train 1.8085e-02 | val 2.8849e-02
Epoch 020: train 1.8043e-02 | val 2.9097e-02
Epoch 021: train 1.7900e-02 | val 2.8806e-02
Epoch 022: train 1.7812e-02 | val 2.8897e-02
Epoch 023: train 1.7666e-02 | val 2.9190e-02
Epoch 024: train 1.7727e-02 | val 2.8981e-02
Epoch 025: train 1.7597e-02 | val 2.8882e-02
Epoch 026: train 1.7596e-02 | val 2.9024e-02
Epoch 027: train 1.7570e-02 | val 2.9823e-02
Epoch 028: train 1.7472e-02 | val 3.0423e-02
Epoch 029: train 1.7452e-02 | val 3.0187e-02
Epoch 030: train 1.7455e-02 | val 2.9759e-02
Epoch 031: train 1.7409e-02 | val 2.9594e-02
Epoch 032: train 1.7254e-02 | val 2.8660e-02
Epoch 033: train 1.7348e-02 | val 2.8633e-02
Epoch 034: train 1.7275e-02 | val 2.8644e-02
Epoch 035: train 1.7241e-02 | val 2.8818e-02
Epoch 036: train 1.7123e-02 | val 2.8781e-02
Epoch 037: train 1.7260e-02 | val 2.9016e-02
Epoch 038: train 1.7131e-02 | val 2.8858e-02
Epoch 039: train 1.7198e-02 | val 2.8959e-02
Epoch 040: train 1.7016e-02 | val 2.9200e-02
Epoch 041: train 1.7119e-02 | val 2.8794e-02
Epoch 042: train 1.7090e-02 | val 2.8846e-02
Epoch 043: train 1.6957e-02 | val 2.9247e-02
Epoch 044: train 1.7030e-02 | val 2.9762e-02
Epoch 045: train 1.7022e-02 | val 2.9445e-02
Epoch 046: train 1.7090e-02 | val 2.9979e-02
Epoch 047: train 1.7056e-02 | val 3.0086e-02
Epoch 048: train 1.6980e-02 | val 2.9965e-02
Epoch 049: train 1.6860e-02 | val 3.0126e-02
Epoch 050: train 1.6943e-02 | val 3.0028e-02
Epoch 051: train 1.6874e-02 | val 3.0646e-02
Epoch 052: train 1.6913e-02 | val 3.0246e-02
Epoch 053: train 1.6937e-02 | val 3.0223e-02
Epoch 054: train 1.6774e-02 | val 3.0032e-02
Epoch 055: train 1.6825e-02 | val 2.9867e-02
Epoch 056: train 1.6808e-02 | val 3.0192e-02
Epoch 057: train 1.6711e-02 | val 3.0207e-02
Epoch 058: train 1.6806e-02 | val 3.0646e-02
Epoch 059: train 1.6876e-02 | val 3.0375e-02
Epoch 060: train 1.6773e-02 | val 3.0074e-02
Epoch 061: train 1.6798e-02 | val 3.0331e-02
Epoch 062: train 1.6671e-02 | val 3.0362e-02
Epoch 063: train 1.6706e-02 | val 3.0379e-02
Epoch 064: train 1.6711e-02 | val 3.1900e-02
Epoch 065: train 1.6670e-02 | val 3.3765e-02
Epoch 066: train 1.6602e-02 | val 3.4751e-02
Epoch 067: train 1.6494e-02 | val 3.6031e-02
Epoch 068: train 1.6396e-02 | val 3.7643e-02
Epoch 069: train 1.6437e-02 | val 3.7499e-02
Epoch 070: train 1.6479e-02 | val 3.6678e-02
Epoch 071: train 1.6441e-02 | val 3.4906e-02
Epoch 072: train 1.6450e-02 | val 3.5068e-02
