Train: 2400 Test: 600

Testing config: {'hidden_dims': (256, 256), 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0}
Epoch 230: train 1.4125e-02 | val 6.2022e-02
Epoch 231: train 1.4130e-02 | val 6.2652e-02
Epoch 232: train 1.4122e-02 | val 6.1024e-02
Epoch 233: train 1.4142e-02 | val 6.3047e-02
Epoch 234: train 1.4143e-02 | val 6.2036e-02
Epoch 235: train 1.4130e-02 | val 6.2416e-02
Epoch 236: train 1.4116e-02 | val 6.1969e-02
Epoch 237: train 1.4113e-02 | val 6.2711e-02
Epoch 238: train 1.4108e-02 | val 6.1635e-02
Epoch 239: train 1.4099e-02 | val 6.2430e-02
Epoch 240: train 1.4106e-02 | val 6.2261e-02
Epoch 241: train 1.4088e-02 | val 6.2164e-02
Epoch 242: train 1.4084e-02 | val 6.1642e-02
Epoch 243: train 1.4079e-02 | val 6.2644e-02
Epoch 244: train 1.4074e-02 | val 6.1991e-02
Epoch 245: train 1.4079e-02 | val 6.2279e-02
Epoch 246: train 1.4087e-02 | val 6.2221e-02
Epoch 247: train 1.4076e-02 | val 6.1220e-02
Epoch 248: train 1.4070e-02 | val 6.2495e-02
Epoch 249: train 1.4080e-02 | val 6.2733e-02
Epoch 250: train 1.4074e-02 | val 6.2160e-02
Epoch 251: train 1.4074e-02 | val 6.2553e-02
Epoch 252: train 1.4056e-02 | val 6.1645e-02
Epoch 253: train 1.4055e-02 | val 6.2425e-02
Epoch 254: train 1.4060e-02 | val 6.2262e-02
Epoch 255: train 1.4052e-02 | val 6.2115e-02
Epoch 256: train 1.4062e-02 | val 6.1257e-02
Epoch 257: train 1.4061e-02 | val 6.2070e-02
Epoch 258: train 1.4051e-02 | val 6.2057e-02
Epoch 259: train 1.4049e-02 | val 6.2549e-02
Epoch 260: train 1.4060e-02 | val 6.2283e-02
Epoch 261: train 1.4058e-02 | val 6.1801e-02
Epoch 262: train 1.4046e-02 | val 6.1298e-02
Epoch 263: train 1.4054e-02 | val 6.1825e-02
Epoch 264: train 1.4043e-02 | val 6.2081e-02
Epoch 265: train 1.4036e-02 | val 6.0948e-02
Epoch 266: train 1.4055e-02 | val 6.1836e-02
Epoch 267: train 1.4047e-02 | val 6.1363e-02
Epoch 268: train 1.4037e-02 | val 6.2324e-02
Epoch 269: train 1.4019e-02 | val 6.1850e-02
Epoch 270: train 1.4019e-02 | val 6.1624e-02
Epoch 271: train 1.4018e-02 | val 6.1673e-02
Epoch 272: train 1.4016e-02 | val 6.2176e-02
Epoch 273: train 1.4027e-02 | val 6.2184e-02
Epoch 274: train 1.4021e-02 | val 6.2019e-02
Epoch 275: train 1.4031e-02 | val 6.1245e-02
Epoch 276: train 1.4023e-02 | val 6.2458e-02
Epoch 277: train 1.4025e-02 | val 6.2195e-02
Epoch 278: train 1.4027e-02 | val 6.1626e-02
Epoch 279: train 1.4020e-02 | val 6.1434e-02
Epoch 280: train 1.4008e-02 | val 6.1815e-02
Epoch 281: train 1.3999e-02 | val 6.1361e-02
Epoch 282: train 1.3996e-02 | val 6.1911e-02
Epoch 283: train 1.3984e-02 | val 6.1271e-02
Epoch 284: train 1.3988e-02 | val 6.2208e-02
Epoch 285: train 1.4002e-02 | val 6.0554e-02
Epoch 286: train 1.3993e-02 | val 6.1190e-02
Epoch 287: train 1.4005e-02 | val 6.1242e-02
Epoch 288: train 1.3994e-02 | val 6.1949e-02
Epoch 289: train 1.3973e-02 | val 6.1564e-02
Epoch 290: train 1.3978e-02 | val 6.1231e-02
Epoch 291: train 1.3973e-02 | val 6.1725e-02
Epoch 292: train 1.3975e-02 | val 6.1460e-02
Epoch 293: train 1.3986e-02 | val 6.0944e-02
Epoch 294: train 1.3977e-02 | val 6.1275e-02
Epoch 295: train 1.3971e-02 | val 6.1793e-02
Epoch 296: train 1.3968e-02 | val 6.1218e-02
Epoch 297: train 1.3964e-02 | val 6.1968e-02
Epoch 298: train 1.3954e-02 | val 6.1015e-02
Epoch 299: train 1.3956e-02 | val 6.1556e-02
Epoch 300: train 1.3960e-02 | val 6.1204e-02

Testing config: {'hidden_dims': (512, 512), 'dropout': 0.05, 'lr': 0.001, 'weight_decay': 1e-05}
Epoch 001: train 1.2231e-01 | val 5.2461e-02
Epoch 002: train 4.1697e-02 | val 3.9874e-02
Epoch 003: train 3.1885e-02 | val 3.5530e-02
Epoch 004: train 2.9074e-02 | val 3.3531e-02
Epoch 005: train 2.7314e-02 | val 3.3129e-02
Epoch 006: train 2.6142e-02 | val 3.3877e-02
Epoch 007: train 2.5045e-02 | val 3.6570e-02
Epoch 008: train 2.4215e-02 | val 3.6637e-02
Epoch 009: train 2.3570e-02 | val 3.7653e-02
Epoch 010: train 2.2951e-02 | val 3.9077e-02
Epoch 011: train 2.2489e-02 | val 4.1186e-02
Epoch 012: train 2.2035e-02 | val 4.0697e-02
Epoch 013: train 2.1604e-02 | val 4.0825e-02
Epoch 014: train 2.1308e-02 | val 4.1296e-02
Epoch 015: train 2.0895e-02 | val 4.3147e-02
Epoch 016: train 2.0612e-02 | val 4.3296e-02
Epoch 017: train 2.0326e-02 | val 4.3681e-02
Epoch 018: train 2.0037e-02 | val 4.5532e-02
Epoch 019: train 1.9760e-02 | val 4.5660e-02
Epoch 020: train 1.9583e-02 | val 4.5921e-02
Epoch 021: train 1.9426e-02 | val 4.5508e-02
Epoch 022: train 1.9202e-02 | val 4.5003e-02
Epoch 023: train 1.8966e-02 | val 4.4357e-02
Epoch 024: train 1.8865e-02 | val 4.4965e-02
Epoch 025: train 1.8689e-02 | val 4.5078e-02
Epoch 026: train 1.8602e-02 | val 4.5643e-02
Epoch 027: train 1.8487e-02 | val 4.5228e-02
Epoch 028: train 1.8171e-02 | val 4.4309e-02
Epoch 029: train 1.8134e-02 | val 4.5019e-02
Epoch 030: train 1.7981e-02 | val 4.5552e-02
Epoch 031: train 1.7929e-02 | val 4.3672e-02
Epoch 032: train 1.7833e-02 | val 4.4108e-02
Epoch 033: train 1.7754e-02 | val 4.4449e-02
Epoch 034: train 1.7604e-02 | val 4.4522e-02
Epoch 035: train 1.7565e-02 | val 4.4923e-02
Epoch 036: train 1.7359e-02 | val 4.3912e-02
Epoch 037: train 1.7182e-02 | val 4.4836e-02
Epoch 038: train 1.7180e-02 | val 4.5126e-02
Epoch 039: train 1.7035e-02 | val 4.5986e-02
Epoch 040: train 1.7036e-02 | val 4.5978e-02
Epoch 041: train 1.6924e-02 | val 4.5718e-02
Epoch 042: train 1.6794e-02 | val 4.5686e-02
Epoch 043: train 1.6684e-02 | val 4.6049e-02
Epoch 044: train 1.6547e-02 | val 4.5637e-02
Epoch 045: train 1.6500e-02 | val 4.6658e-02
Epoch 046: train 1.6495e-02 | val 4.5803e-02
Epoch 047: train 1.6443e-02 | val 4.6827e-02
Epoch 048: train 1.6213e-02 | val 4.7246e-02
Epoch 049: train 1.6264e-02 | val 4.7315e-02
Epoch 050: train 1.6111e-02 | val 4.9157e-02
Epoch 051: train 1.5988e-02 | val 4.8645e-02
Epoch 052: train 1.5905e-02 | val 4.9255e-02
Epoch 053: train 1.5851e-02 | val 4.9978e-02
Epoch 054: train 1.5770e-02 | val 5.0424e-02
Epoch 055: train 1.5715e-02 | val 5.3830e-02
Epoch 056: train 1.5579e-02 | val 5.7323e-02
Epoch 057: train 1.5544e-02 | val 5.5298e-02
Epoch 058: train 1.5451e-02 | val 5.9139e-02
Epoch 059: train 1.5376e-02 | val 6.5632e-02
Epoch 060: train 1.5277e-02 | val 6.4234e-02
Epoch 061: train 1.5244e-02 | val 6.9096e-02
Epoch 062: train 1.5193e-02 | val 6.9731e-02
Epoch 063: train 1.5146e-02 | val 7.0248e-02
Epoch 064: train 1.5050e-02 | val 6.9937e-02
Epoch 065: train 1.4879e-02 | val 7.2534e-02
Epoch 066: train 1.4826e-02 | val 7.4750e-02
Epoch 067: train 1.4874e-02 | val 7.4072e-02
Epoch 068: train 1.4825e-02 | val 7.3561e-02
Epoch 069: train 1.4909e-02 | val 7.5304e-02
Epoch 070: train 1.4764e-02 | val 7.7905e-02
Epoch 071: train 1.4784e-02 | val 7.5624e-02
Epoch 072: train 1.4647e-02 | val 7.7591e-02
Epoch 073: train 1.4630e-02 | val 7.6545e-02
Epoch 074: train 1.4532e-02 | val 7.4208e-02
Epoch 075: train 1.4503e-02 | val 7.0783e-02
Epoch 076: train 1.4564e-02 | val 7.4521e-02
Epoch 077: train 1.4375e-02 | val 7.9875e-02
Epoch 078: train 1.4474e-02 | val 8.2357e-02
Epoch 079: train 1.4314e-02 | val 7.5961e-02
Epoch 080: train 1.4330e-02 | val 7.6066e-02
Epoch 081: train 1.4351e-02 | val 7.8557e-02
Epoch 082: train 1.4268e-02 | val 7.7980e-02
Epoch 083: train 1.4100e-02 | val 8.1569e-02
Epoch 084: train 1.4235e-02 | val 7.8160e-02
Epoch 085: train 1.4148e-02 | val 8.5476e-02
Epoch 086: train 1.4155e-02 | val 8.4803e-02
Epoch 087: train 1.4062e-02 | val 8.0910e-02
Epoch 088: train 1.4199e-02 | val 7.9754e-02
Epoch 089: train 1.4137e-02 | val 7.9773e-02
Epoch 090: train 1.4062e-02 | val 8.1963e-02
Epoch 091: train 1.3890e-02 | val 8.2698e-02
Epoch 092: train 1.3903e-02 | val 7.8816e-02
Epoch 093: train 1.3942e-02 | val 8.3005e-02
Epoch 094: train 1.3926e-02 | val 8.4716e-02
Epoch 095: train 1.3791e-02 | val 8.5175e-02
Epoch 096: train 1.3854e-02 | val 8.1031e-02
Epoch 097: train 1.3847e-02 | val 8.2513e-02
Epoch 098: train 1.3774e-02 | val 8.7111e-02
Epoch 099: train 1.3753e-02 | val 8.4842e-02
Epoch 100: train 1.3692e-02 | val 8.1392e-02
Epoch 101: train 1.3753e-02 | val 8.0413e-02
Epoch 102: train 1.3704e-02 | val 8.5358e-02
Epoch 103: train 1.3821e-02 | val 8.6216e-02
Epoch 104: train 1.3641e-02 | val 8.5099e-02
Epoch 105: train 1.3658e-02 | val 8.5947e-02
Epoch 106: train 1.3778e-02 | val 8.6092e-02
Epoch 107: train 1.3631e-02 | val 8.5146e-02
Epoch 108: train 1.3565e-02 | val 8.1984e-02
Epoch 109: train 1.3592e-02 | val 8.8529e-02
Epoch 110: train 1.3619e-02 | val 8.8196e-02
Epoch 111: train 1.3559e-02 | val 8.7408e-02
Epoch 112: train 1.3511e-02 | val 8.5294e-02
Epoch 113: train 1.3446e-02 | val 8.9829e-02
Epoch 114: train 1.3500e-02 | val 8.5668e-02
Epoch 115: train 1.3372e-02 | val 8.5907e-02
Epoch 116: train 1.3304e-02 | val 9.1353e-02
Epoch 117: train 1.3408e-02 | val 8.8548e-02
Epoch 118: train 1.3422e-02 | val 8.8072e-02
Epoch 119: train 1.3396e-02 | val 8.6400e-02
Epoch 120: train 1.3440e-02 | val 8.6543e-02
Epoch 121: train 1.3439e-02 | val 8.8336e-02
Epoch 122: train 1.3410e-02 | val 8.3745e-02
Epoch 123: train 1.3525e-02 | val 8.8025e-02
Epoch 124: train 1.3364e-02 | val 8.5424e-02
Epoch 125: train 1.3446e-02 | val 8.9908e-02
Epoch 126: train 1.3300e-02 | val 9.0835e-02
Epoch 127: train 1.3359e-02 | val 8.5768e-02
Epoch 128: train 1.3248e-02 | val 9.1107e-02
Epoch 129: train 1.3308e-02 | val 8.7680e-02
Epoch 130: train 1.3276e-02 | val 8.8903e-02
Epoch 131: train 1.3293e-02 | val 8.6890e-02
Epoch 132: train 1.3182e-02 | val 8.9119e-02
Epoch 133: train 1.3144e-02 | val 9.3988e-02
Epoch 134: train 1.3216e-02 | val 8.5618e-02
Epoch 135: train 1.3198e-02 | val 8.8021e-02
Epoch 136: train 1.3132e-02 | val 9.1228e-02
Epoch 137: train 1.3189e-02 | val 8.6283e-02
Epoch 138: train 1.3196e-02 | val 9.3081e-02
Epoch 139: train 1.3098e-02 | val 8.3847e-02
Epoch 140: train 1.3007e-02 | val 8.4872e-02
Epoch 141: train 1.3105e-02 | val 9.5544e-02
Epoch 142: train 1.3164e-02 | val 8.6552e-02
Epoch 143: train 1.3034e-02 | val 8.9294e-02
Epoch 144: train 1.3105e-02 | val 8.7273e-02
Epoch 145: train 1.3120e-02 | val 8.7836e-02
Epoch 146: train 1.3012e-02 | val 8.8833e-02
Epoch 147: train 1.3082e-02 | val 8.8701e-02
Epoch 148: train 1.2984e-02 | val 8.7352e-02
Epoch 149: train 1.3034e-02 | val 8.8851e-02
Epoch 150: train 1.2878e-02 | val 8.7206e-02
Epoch 151: train 1.2899e-02 | val 9.1007e-02
Epoch 152: train 1.3038e-02 | val 8.8884e-02
Epoch 153: train 1.3035e-02 | val 9.2319e-02
Epoch 154: train 1.2989e-02 | val 8.7535e-02
Epoch 155: train 1.2859e-02 | val 9.0719e-02
Epoch 156: train 1.2910e-02 | val 9.2601e-02
Epoch 157: train 1.2931e-02 | val 8.8097e-02
Epoch 158: train 1.2961e-02 | val 8.9307e-02
Epoch 159: train 1.2858e-02 | val 9.3272e-02
Epoch 160: train 1.2874e-02 | val 9.3481e-02
Epoch 161: train 1.2709e-02 | val 8.8891e-02
Epoch 162: train 1.2733e-02 | val 8.9376e-02
Epoch 163: train 1.2887e-02 | val 9.2502e-02
Epoch 164: train 1.2807e-02 | val 8.8007e-02
Epoch 165: train 1.2806e-02 | val 9.3167e-02
Epoch 166: train 1.2702e-02 | val 9.0454e-02
Epoch 167: train 1.2844e-02 | val 9.1126e-02
Epoch 168: train 1.2805e-02 | val 9.0754e-02
Epoch 169: train 1.2857e-02 | val 9.1597e-02
Epoch 170: train 1.2776e-02 | val 8.9223e-02
Epoch 171: train 1.2679e-02 | val 9.2854e-02
Epoch 172: train 1.2699e-02 | val 8.8503e-02
Epoch 173: train 1.2745e-02 | val 8.6218e-02
Epoch 174: train 1.2752e-02 | val 9.0749e-02
Epoch 175: train 1.2791e-02 | val 8.8107e-02
Epoch 176: train 1.2667e-02 | val 8.5866e-02
Epoch 177: train 1.2645e-02 | val 9.0400e-02
Epoch 178: train 1.2776e-02 | val 8.8831e-02
Epoch 179: train 1.2660e-02 | val 9.2379e-02
Epoch 180: train 1.2548e-02 | val 8.5609e-02
Epoch 181: train 1.2603e-02 | val 8.5911e-02
Epoch 182: train 1.2685e-02 | val 9.3069e-02
Epoch 183: train 1.2729e-02 | val 8.5266e-02
Epoch 184: train 1.2570e-02 | val 8.9041e-02
Epoch 185: train 1.2663e-02 | val 9.0397e-02
